Timestamp,What is your age ?,What is are you currently studying ?,What is your average attendance ?,What was your average percentage/CGPA in the last exam ?,How many hour do study on an average day ?, Have you failed any subject in the last academic year ?  ,How interested are you in your current course ?  ,Do financial difficulties affect your education ?  ,How far is your school/college from your home ?  ,Do you have reliable internet access for your studies ?  ,"On average, how many hours do you spend on social media each day ?  ",Which of the following affects your studies the most ?  ,Have you ever missed classes for more than one week continuously ?  ,Have you ever thought about taking a break from your education because of personal or academic difficulties ?  ,What kind of support would help you continue your education ?  
30/06/2026 17:07:09,18 - 20,Undergraduate,75 - 90%,75 - 89%,1–2 hours,No,3,1,More than 10 km,Yes,3–4 hours,Lack of motivation,No,Never,Career guidance
30/06/2026 18:31:36,18 - 20,Undergraduate,Below 50%,60 - 74%,1–2 hours,Yes,2,4,More than 10 km,Sometimes,1–2 hours,Family responsibilities,Yes,Rarely,Mental health/counseling support
30/06/2026 18:51:06,18 - 20,Undergraduate,50 - 74%,60 - 74%,Less than 1 hour,No,4,3,Less than 2 km,Yes,1–2 hours,"Lack of motivation, Academic pressure",Yes,Never,Better transportation
30/06/2026 20:03:47,18 - 20,Undergraduate,75 - 90%,60 - 74%,Less than 1 hour,Yes,1,5,More than 10 km,Yes,1–2 hours,"Financial problems, Family responsibilities",Yes,Never,Other
01/07/2026 09:12:58,18 - 20,Undergraduate,75 - 90%,75 - 89%,More than 4 hours,No,1,1,More than 10 km,No,More than 4 hours,None,No,Sometimes,Other
01/07/2026 13:11:35,18 - 20,Undergraduate,75 - 90%,75 - 89%,3–4 hours,Yes,5,4,2–5 km,Yes,More than 4 hours,"Financial problems, Family responsibilities, Health issues",Yes,Often,"Academic tutoring, Career guidance, Mental health/counseling support"
01/07/2026 16:51:21,above 20,Undergraduate,75 - 90%,60 - 74%,3–4 hours,No,5,4,2–5 km,No,3–4 hours,Academic pressure,No,Sometimes,Career guidance
01/07/2026 18:28:05,18 - 20,Undergraduate,50 - 74%,60 - 74%,1–2 hours,No,4,5,Less than 2 km,Yes,1–2 hours,Lack of motivation,No,Rarely,"Financial assistance, Career guidance"
01/07/2026 19:37:33,above 20,Undergraduate,75 - 90%,75 - 89%,Less than 1 hour,No,4,1,More than 10 km,Yes,3–4 hours,None,No,Never,Career guidance
01/07/2026 19:46:49,above 20,Undergraduate,75 - 90%,75 - 89%,1–2 hours,No,5,1,Less than 2 km,Yes,More than 4 hours,None,No,Never,Other
01/07/2026 19:55:57,Below 15,Diploma,50 - 74%,60 - 74%,3–4 hours,No,3,2,2–5 km,Sometimes,1–2 hours,Lack of motivation,No,Rarely,Mental health/counseling support
01/07/2026 20:42:38,above 20,Undergraduate,75 - 90%,75 - 89%,3–4 hours,No,5,3,5–10 km,Sometimes,1–2 hours,"Financial problems, Family responsibilities, Lack of motivation, Transportation issues",No,Never,"Financial assistance, Better transportation"
